JURISDICTION,PARCELS,CURRENT_MKT,PRIOR_MARKET,MARKET_CHANGE_PCT,CURRENT_AVERAGE_MKT,PRIOR_AVERAGE_MKT,CURRENT_TAXABLE_VALUE,PRIOR_TAXABLE_VALUE,TAXABLE_CHANGE_PCT,CURRENT_AVG_TAXABLE_VALUE,PRIOR_AVG_TAXABLE_VALUE
ADDISON,1390,928575920.00,796524600.00,0.165784,668040.230216,592211.598513,659519591,582346393,0.1325,474474.5259,432971.2959
"BALCH SPRINGS",6079,1456263210.00,1207511660.00,0.206003,239556.376049,207904.900138,1162147012,988604096,0.1755,191174.0438,170214.2039
CARROLLTON,9608,3595802130.00,3199460050.00,0.123878,374250.846170,344435.359027,2442973845,2168127973,0.1268,254264.5551,233408.1142
"CARROLLTON-FARMERS BRANCH ISD",20861,9874085150.00,8611997430.00,0.146550,473327.508269,425956.940845,7203553182,6232301300,0.1558,345311.9784,308255.0846
"CEDAR HILL",14561,5304184170.00,4636614830.00,0.143978,364273.344551,334967.116746,4481416089,3889758768,0.1521,307768.4286,281011.3255
"CEDAR HILL ISD",14715,5441014910.00,4814765360.00,0.130069,369759.762827,339306.931642,3684462225,3188556281,0.1555,250388.1906,224704.4595
"COCKRELL HILL",811,198661940.00,171577540.00,0.157855,244959.235512,219128.403576,150382450,130227197,0.1548,185428.4217,166318.2593
COMBINE,65,18861240.00,14049330.00,0.342501,290172.923077,219520.781250,12170462,10389855,0.1714,187237.8769,162341.4844
COPPELL,11096,7227808630.00,6318457640.00,0.143920,651388.665285,583960.964880,5983379635,5342459943,0.1200,539237.5302,493757.8506
"COPPELL ISD",14653,9752741640.00,8652762800.00,0.127125,665579.856685,606487.895143,7525830961,6650558032,0.1316,513603.4233,466149.7184
DALLAS,223726,116634293090.00,98500784280.00,0.184095,521326.502463,455676.173091,77779172604,67923960014,0.1451,347653.7041,314224.2002
"DALLAS COLLEGE",544632,257186740060.00,221181772940.00,0.162785,472221.132912,421151.813634,176685954999,154227044519,0.1456,324413.4663,293663.4364
"DALLAS COUNTY",544632,257186740060.00,221181772940.00,0.162785,472221.132912,421151.813634,176685825099,154227044519,0.1456,324413.2278,293663.4364
"DALLAS COUNTY FCD1",104,54546090.00,39506660.00,0.380681,524481.634615,454099.540230,43915799,32726820,0.3419,422267.2981,376170.3448
"DALLAS COUNTY MUD4",277,102639050.00,10284890.00,8.979596,370538.086643,233747.500000,102007502,10284890,8.9182,368258.1300,233747.5000
"DALLAS COUNTY URD",1634,1260231490.00,1116711620.00,0.128520,771255.501836,693179.155804,1128197043,1007846320,0.1194,690451.0667,625602.9299
"DALLAS ISD",206188,102631708740.00,86104096190.00,0.191949,497757.913846,432875.322706,67445245279,57709111193,0.1687,327105.5798,290123.8296
"DENTON CO LEVEE IMPR DIST1",47,42002330.00,42372240.00,-0.008730,893666.595745,901537.021277,31301188,28449438,0.1002,665982.7234,605307.1915
